state,date,cum_cases,cum_deaths
Ohio,2020-05-31,35513,2155
Texas,2020-05-31,64974,1683
Iowa,2020-06-01,19789,558
Kentucky,2020-06-01,10150,445
Alabama,2020-06-02,18771,653
Delaware,2020-06-02,9685,373
New Mexico,2020-06-02,8024,367
Oklahoma,2020-06-02,6692,339
Indiana,2020-06-03,36609,2207
Minnesota,2020-06-03,25881,1097
Missouri,2020-06-04,28572,1352
North Carolina,2020-06-04,32276,993
Virginia,2020-06-04,47856,1445
Missouri,2020-06-05,14515,816
Virginia,2020-06-05,48532,1453
West Virginia,2020-06-05,2119,84
Arizona,2020-06-06,25517,1046
California,2020-06-07,131997,4653
New Jersey,2020-06-07,164164,12176
California,2020-06-08,134287,4679
District of Columbia,2020-06-08,9389,491
Missouri,2020-06-08,15159,832
South Carolina,2020-06-08,14800,557
Maryland,2020-06-09,59543,2811
Nebraska,2020-06-09,15888,199
New Hampshire,2020-06-09,5132,294
Rhode Island,2020-06-09,15691,808
Pennsylvania,2020-06-10,81410,6143
Puerto Rico,2020-06-10,5329,143
Georgia,2020-06-11,52332,2337
Louisiana,2020-06-11,44585,2987
New Hampshire,2020-06-11,5209,308
New York,2020-06-11,385669,30431
Rhode Island,2020-06-11,15862,823
Iowa,2020-06-12,23455,650
Michigan,2020-06-12,65881,5994
Oregon,2020-06-12,5387,173
Washington,2020-06-12,26576,1207
Nebraska,2020-06-13,16634,221
Iowa,2020-06-14,23959,652
Kentucky,2020-06-14,12652,527
New Hampshire,2020-06-14,5318,320
Idaho,2020-06-15,3472,89
Massachusetts,2020-06-15,105690,7646
Oklahoma,2020-06-15,8417,359
Washington,2020-06-15,27577,1223
California,2020-06-16,159131,5202
Georgia,2020-06-16,56302,2492
Minnesota,2020-06-16,30913,1344
Rhode Island,2020-06-16,16164,865
Virginia,2020-06-16,55331,1570
Guam,2020-06-17,1157,6
Kentucky,2020-06-17,13190,536
Maryland,2020-06-17,63565,2996
Rhode Island,2020-06-17,16213,876
Alabama,2020-06-18,28206,810
Delaware,2020-06-18,10499,431
Florida,2020-06-18,85918,3060
Ohio,2020-06-18,43122,2633
Oregon,2020-06-18,6373,187
Washington,2020-06-18,28663,1246
Alaska,2020-06-19,1642,27
District of Columbia,2020-06-19,9952,530
Minnesota,2020-06-19,32063,1393
New Jersey,2020-06-19,168496,12835
North Carolina,2020-06-19,50014,1223
Connecticut,2020-06-20,45715,4251
Utah,2020-06-20,17173,155
Oregon,2020-06-21,6945,190
Colorado,2020-06-23,30877,1665
Pennsylvania,2020-06-23,87283,6511
Colorado,2020-06-24,31139,1667
Oklahoma,2020-06-24,11509,372
Puerto Rico,2020-06-24,6820,149
California,2020-02-10,203,2
California,2020-03-01,264,1
California,2020-03-03,405,4
California,2020-03-05,268,5
Nebraska,2020-03-06,476,43
Texas,2020-03-06,342,10
California,2020-03-12,252,4
Louisiana,2020-03-13,216,1
Minnesota,2020-03-14,336,13
Texas,2020-03-14,1725,133
Minnesota,2020-03-15,175,3
Texas,2020-03-15,320,2
Illinois,2020-03-17,477,8
Maine,2020-03-18,172,1
Texas,2020-03-18,332,2
Massachusetts,2020-03-19,328,0
Pennsylvania,2020-03-19,561,5
Florida,2020-03-20,1692,25
Georgia,2020-03-20,482,14
New York,2020-03-20,7113,68
South Carolina,2020-03-20,252,6
Tennessee,2020-03-20,711,6
Maryland,2020-03-21,195,3
New York,2020-03-21,10371,95
Pennsylvania,2020-03-21,776,10
Maryland,2020-03-22,245,3
Connecticut,2020-03-23,1660,28
District of Columbia,2020-03-23,116,2
Massachusetts,2020-03-23,1554,26
Virginia,2020-03-23,254,6
Illinois,2020-03-24,3070,54
Maryland,2020-03-24,1047,14
Massachusetts,2020-03-24,3477,109
New York,2020-03-24,25703,256
Washington,2020-03-25,5170,167
Idaho,2020-03-26,378,7
North Carolina,2020-03-26,1911,36
Maine,2020-03-27,168,1
Washington,2020-03-27,3770,177
Colorado,2020-03-28,4122,108
Connecticut,2020-03-28,1524,33
Hawaii,2020-03-28,151,0
Massachusetts,2020-03-28,4257,44
Rhode Island,2020-03-29,294,3
California,2020-03-30,7421,146
New York,2020-03-30,67462,1512
Florida,2020-03-31,13482,322
Kentucky,2020-03-31,1180,30
Massachusetts,2020-03-31,6620,89
Delaware,2020-04-01,736,18
New York,2020-04-01,84363,2415
Indiana,2020-04-02,3056,94
Michigan,2020-04-02,10791,417
Idaho,2020-04-04,1076,10
Massachusetts,2020-04-04,23472,778
Iowa,2020-04-05,868,22
Kentucky,2020-04-05,2096,70
Washington,2020-04-05,7985,344
Georgia,2020-04-06,7558,294
West Virginia,2020-04-06,345,4
California,2020-04-07,17540,447
Georgia,2020-04-07,9156,348
Puerto Rico,2020-04-07,1146,41
Colorado,2020-04-08,5655,192
Pennsylvania,2020-04-08,16414,313
Delaware,2020-04-09,1209,23
New Mexico,2020-04-09,989,17
Kentucky,2020-04-10,1702,90
South Carolina,2020-04-10,3065,72
Tennessee,2020-04-10,9586,158
Rhode Island,2020-04-11,4698,145
Montana,2020-04-12,774,14
Nevada,2020-04-12,2860,113
West Virginia,2020-04-12,1230,25
Maine,2020-04-13,1396,39
Ohio,2020-04-13,6975,274
West Virginia,2020-04-13,638,9
Louisiana,2020-04-14,21518,1013
New Mexico,2020-04-14,1407,36
Montana,2020-04-15,808,15
Delaware,2020-04-16,2075,52
New Mexico,2020-04-16,1597,44
Ohio,2020-04-16,8414,389
South Dakota,2020-04-16,1310,7
Washington,2020-04-16,11180,588
Tennessee,2020-04-17,6423,146
Washington,2020-04-17,11479,610
Illinois,2020-04-18,29160,1272
Louisiana,2020-04-18,23580,1267
Maine,2020-04-18,847,32
Maryland,2020-04-18,12379,534
New Jersey,2020-04-18,81420,4070
Wisconsin,2020-04-18,4199,212
Arizona,2020-04-21,10502,528
Idaho,2020-04-21,1766,51
Michigan,2020-04-21,32935,2698
Minnesota,2020-04-21,2567,160
Missouri,2020-04-21,5941,221
Arkansas,2020-04-22,2392,44
California,2020-04-23,39534,1548
Nebraska,2020-04-23,2190,46
Georgia,2020-04-24,21575,889
Ohio,2020-04-24,15169,690
Oklahoma,2020-04-24,3120,188
Kansas,2020-04-25,3090,119
Arizona,2020-04-26,6526,277
Idaho,2020-04-26,1897,56
Iowa,2020-04-26,10980,292
Minnesota,2020-04-26,3602,272
Georgia,2020-04-27,23229,981
Minnesota,2020-04-27,3816,286
New Hampshire,2020-04-27,1938,60
Wyoming,2020-04-27,520,7
Alabama,2020-04-28,6750,242
Pennsylvania,2020-04-28,45323,2092
Texas,2020-04-28,26868,738
North Carolina,2020-04-29,9947,366
Rhode Island,2020-04-29,16494,661
Virginia,2020-04-29,14961,522
Wisconsin,2020-04-29,6520,308
Arizona,2020-04-30,7648,320
Puerto Rico,2020-04-30,1537,92
District of Columbia,2020-05-01,4658,231
Louisiana,2020-05-02,29183,1993
Indiana,2020-05-03,20267,1246
Missouri,2020-05-03,8454,378
Rhode Island,2020-05-03,9477,320
West Virginia,2020-05-03,1195,50
Pennsylvania,2020-05-04,52992,2880
Connecticut,2020-05-05,30621,2633
Maine,2020-05-05,1226,61
Virginia,2020-05-05,40512,1426
Colorado,2020-05-06,17720,919
Maine,2020-05-06,2508,82
Alabama,2020-05-07,9046,369
New Hampshire,2020-05-07,2843,114
New Jersey,2020-05-07,133635,8801
Arkansas,2020-05-08,7494,176
Colorado,2020-05-08,18719,958
Iowa,2020-05-08,11457,243
District of Columbia,2020-05-09,6102,311
Iowa,2020-05-09,11671,252
Pennsylvania,2020-05-09,58661,3793
Maryland,2020-05-10,32693,1644
Mississippi,2020-05-10,9501,430
Vermont,2020-05-10,2778,116
Nebraska,2020-05-11,8575,99
Puerto Rico,2020-05-11,2256,113
Colorado,2020-05-12,20103,1009
Idaho,2020-05-13,4650,158
North Dakota,2020-05-14,1712,40
South Dakota,2020-05-14,3792,43
Arizona,2020-05-15,13169,651
South Carolina,2020-05-15,8407,380
Texas,2020-05-15,46987,1300
Colorado,2020-05-16,21604,1192
Florida,2020-05-16,44803,1963
Maine,2020-05-16,1648,70
Missouri,2020-05-16,10794,593
South Dakota,2020-05-16,3959,44
Texas,2020-05-17,48828,1356
District of Columbia,2020-05-18,7270,392
Pennsylvania,2020-05-18,66676,4560
Indiana,2020-05-19,29402,1824
Alabama,2020-05-20,13052,522
Massachusetts,2020-05-20,88970,6066
New Hampshire,2020-05-20,3868,190
North Dakota,2020-05-20,2095,49
Maryland,2020-05-21,43645,2159
New Mexico,2020-05-21,6472,294
Virginia,2020-05-21,34137,1099
Connecticut,2020-05-22,39640,3637
Kansas,2020-05-22,9068,200
Indiana,2020-05-23,31674,1964
Nevada,2020-05-23,7769,392
Virginia,2020-05-23,35749,1159
Pennsylvania,2020-05-24,71656,5145
Washington,2020-05-24,20989,1069
Louisiana,2020-05-25,37916,2690
Massachusetts,2020-05-25,93271,6416
Texas,2020-05-25,112980,4204
Washington,2020-05-25,21265,1076
Massachusetts,2020-05-26,93693,6473
North Dakota,2020-05-26,2422,54
West Virginia,2020-05-26,1854,74
Oklahoma,2020-05-27,6229,322
South Dakota,2020-05-27,4710,54
Missouri,2020-05-28,12815,715
South Carolina,2020-05-28,10788,470
Tennessee,2020-05-29,22199,356
Idaho,2020-05-30,2840,82
Nebraska,2020-05-30,13905,177
South Carolina,2020-05-30,11394,487
Wisconsin,2020-05-30,18249,588
New Hampshire,2020-05-31,4651,245
New York,2020-06-01,376520,29766
Arizona,2020-06-02,21250,943
Connecticut,2020-06-02,42979,3972
Tennessee,2020-06-03,25024,386
Washington,2020-06-03,23776,1145
Illinois,2020-06-04,125149,5772
Massachusetts,2020-06-04,102063,7201
Arizona,2020-06-05,24369,1016
District of Columbia,2020-06-06,9269,483
Missouri,2020-06-06,14659,823
Massachusetts,2020-06-07,103436,7316
Arkansas,2020-06-08,9740,155
New York,2020-06-08,383591,30239
North Carolina,2020-06-08,36581,1041
Rhode Island,2020-06-08,15642,799
Colorado,2020-06-10,28484,1573
New Hampshire,2020-06-10,5178,301
South Carolina,2020-06-10,15759,575
Wisconsin,2020-06-12,22345,692
Michigan,2020-06-13,66024,6017
Ohio,2020-06-13,40848,2554
Pennsylvania,2020-06-13,82988,6264
Utah,2020-06-13,14061,139
Vermont,2020-06-14,1127,55
Wisconsin,2020-06-14,22858,696
Illinois,2020-06-15,134247,6543
Nebraska,2020-06-15,16860,226
Wisconsin,2020-06-15,23072,697
Florida,2020-06-16,80101,2992
Kansas,2020-06-16,11569,246
Nevada,2020-06-17,11852,473
California,2020-06-18,167135,5359
Connecticut,2020-06-18,45440,4226
Maryland,2020-06-18,63839,3016
Missouri,2020-06-18,17488,963
Nebraska,2020-06-19,17591,249
Rhode Island,2020-06-19,49011,2682
Florida,2020-06-20,93789,3143
Louisiana,2020-06-20,49497,3104
Ohio,2020-06-20,44262,2697
Texas,2020-06-20,111594,2186
Washington,2020-06-21,29797,1271
Alaska,2020-06-22,869,10
Idaho,2020-06-22,4267,90
Ohio,2020-06-22,45537,2704
Rhode Island,2020-06-22,16459,903
Alabama,2020-06-23,31097,864
Delaware,2020-06-23,10847,504
Indiana,2020-06-23,43967,2569
Missouri,2020-06-23,19148,993
Nevada,2020-06-23,14058,492
Massachusetts,2020-06-24,107611,7937
Ohio,2020-06-24,46759,2755
Texas,2020-06-24,131310,2292
Massachusetts,2020-03-09,246,2
Massachusetts,2020-03-10,92,0
Colorado,2020-03-11,136,0
Oregon,2020-03-11,120,0
New York,2020-03-17,1375,18
Pennsylvania,2020-03-17,202,1
California,2020-03-18,893,17
Oregon,2020-03-18,148,9
Indiana,2020-03-19,224,2
Michigan,2020-03-19,334,3
Hawaii,2020-03-21,48,0
Kentucky,2020-03-21,252,3
Minnesota,2020-03-22,342,4
California,2020-03-23,2240,39
Colorado,2020-03-24,1824,28
New Jersey,2020-03-24,3675,44
Delaware,2020-03-25,238,2
Nebraska,2020-03-26,91,0
Kansas,2020-03-27,636,6
Massachusetts,2020-03-27,3240,35
New York,2020-03-27,44745,645
Indiana,2020-03-28,2478,76
New Jersey,2020-03-28,11124,140
Maryland,2020-03-29,1244,11
Ohio,2020-03-29,1665,30
Tennessee,2020-03-29,1569,7
Alabama,2020-03-30,1894,28
Arizona,2020-03-30,2338,26
Michigan,2020-03-30,6508,197
Minnesota,2020-03-30,576,10
Nevada,2020-03-30,1044,18
Idaho,2020-03-31,526,9
Pennsylvania,2020-03-31,4997,72
Texas,2020-03-31,3570,57
California,2020-04-01,9816,212
Georgia,2020-04-01,4747,154
Massachusetts,2020-04-01,7738,122
Arkansas,2020-04-02,1366,45
Colorado,2020-04-02,3728,96
District of Columbia,2020-04-02,1959,36
Idaho,2020-04-02,1780,29
Louisiana,2020-04-02,9152,310
Oregon,2020-04-02,826,21
Pennsylvania,2020-04-02,7016,90
Delaware,2020-04-03,450,14
Texas,2020-04-03,5669,97
Minnesota,2020-04-04,1730,40
North Carolina,2020-04-04,2402,30
South Carolina,2020-04-04,3834,98
Tennessee,2020-04-04,3265,47
Delaware,2020-04-06,783,15
Louisiana,2020-04-06,14867,512
Minnesota,2020-04-06,986,30
Mississippi,2020-04-06,1738,51
New Mexico,2020-04-06,686,12
New York,2020-04-06,132061,6130
North Dakota,2020-04-06,225,3
Vermont,2020-04-07,575,23
Connecticut,2020-04-08,8781,335
District of Columbia,2020-04-08,1440,27
Iowa,2020-04-08,1145,27
Kentucky,2020-04-08,1393,73
New Hampshire,2020-04-08,1576,60
North Carolina,2020-04-08,3423,61
West Virginia,2020-04-08,483,4
Arizona,2020-04-09,3018,89
New Jersey,2020-04-09,51027,1700
West Virginia,2020-04-09,1048,14
Alabama,2020-04-10,3008,80
Minnesota,2020-04-10,1335,57
Missouri,2020-04-10,3799,105
New York,2020-04-10,172830,10162
South Dakota,2020-04-10,1072,13
Indiana,2020-04-12,7990,405
Minnesota,2020-04-12,1621,70
New Jersey,2020-04-12,61850,2350
Colorado,2020-04-13,7691,308
Idaho,2020-04-13,1499,33
Massachusetts,2020-04-13,26867,844
Missouri,2020-04-13,4388,136
Virginia,2020-04-13,5746,149
Wisconsin,2020-04-13,3428,155
North Carolina,2020-04-14,4992,116
Oregon,2020-04-14,1633,55
Kentucky,2020-04-15,2295,124
Puerto Rico,2020-04-15,1948,106
Idaho,2020-04-16,1609,41
Pennsylvania,2020-04-16,28314,940
Alabama,2020-04-17,4572,151
District of Columbia,2020-04-17,4952,163
New Hampshire,2020-04-17,1287,37
Pennsylvania,2020-04-17,30121,1027
South Dakota,2020-04-17,1410,7
Massachusetts,2020-04-18,36372,1560
Puerto Rico,2020-04-18,6708,90
Washington,2020-04-18,11850,629
Massachusetts,2020-04-19,38077,1706
North Dakota,2020-04-19,585,10
Utah,2020-04-19,6142,160
Washington,2020-04-19,11864,637
Connecticut,2020-04-20,19815,1331
Oklahoma,2020-04-20,5360,252
New Mexico,2020-04-21,2072,65
New York,2020-04-21,255932,19040
District of Columbia,2020-04-22,3206,127
North Carolina,2020-04-22,7220,242
Vermont,2020-04-22,823,39
Delaware,2020-04-23,3308,92
Washington,2020-04-23,12981,717
Alaska,2020-04-24,674,14
Kentucky,2020-04-25,3905,208
Maine,2020-04-25,1980,105
Mississippi,2020-04-25,5718,221
Georgia,2020-04-26,22459,907
Pennsylvania,2020-04-26,42709,1871
Washington,2020-04-26,13744,757
Illinois,2020-04-27,45883,1992
Massachusetts,2020-04-27,56462,3003
Washington,2020-04-27,13958,771
Minnesota,2020-04-28,4181,301
North Dakota,2020-04-28,991,19
Connecticut,2020-04-29,26767,2168
New Jersey,2020-04-29,116264,6770
South Carolina,2020-04-30,6095,244
Wyoming,2020-04-30,559,7
North Carolina,2020-05-01,10922,405
Hawaii,2020-05-02,1222,33
Louisiana,2020-05-03,29383,2012
Texas,2020-05-03,32299,890
North Carolina,2020-05-04,11871,454
Illinois,2020-05-05,65889,2843
Massachusetts,2020-05-05,70271,4212
Ohio,2020-05-06,21576,1225
Rhode Island,2020-05-06,10205,370
Florida,2020-05-07,38820,1599
Mississippi,2020-05-07,8686,396
Connecticut,2020-05-08,32411,2874
New Hampshire,2020-05-08,2947,121
New Jersey,2020-05-08,135454,8952
New Mexico,2020-05-08,4673,181
South Dakota,2020-05-08,3144,31
Texas,2020-05-08,37943,1059
California,2020-05-09,66824,2732
Connecticut,2020-05-09,32984,2932
Indiana,2020-05-09,24239,1490
Oklahoma,2020-05-09,4490,270
Louisiana,2020-05-10,31673,2286
Missouri,2020-05-10,9906,502
Oklahoma,2020-05-10,4589,272
Alaska,2020-05-11,380,8
Missouri,2020-05-11,10025,512
North Dakota,2020-05-11,1518,36
Michigan,2020-05-13,48307,4714
Minnesota,2020-05-13,12916,638
New Hampshire,2020-05-13,3299,150
North Carolina,2020-05-13,15850,615
Alabama,2020-05-14,11101,473
California,2020-05-14,74947,3039
Missouri,2020-05-14,10490,564
New Jersey,2020-05-14,142704,9946
Washington,2020-05-15,19131,1008
Georgia,2020-05-16,35655,1573
Ohio,2020-05-16,27476,1610
Pennsylvania,2020-05-16,65228,4490
South Carolina,2020-05-16,17322,577
Arizona,2020-05-17,13937,680
California,2020-05-17,80366,3290
Idaho,2020-05-17,2421,73
Louisiana,2020-05-17,34498,2491
Mississippi,2020-05-18,11432,528
Ohio,2020-05-18,28455,1657
Rhode Island,2020-05-18,12795,506
South Carolina,2020-05-18,8942,391
Arizona,2020-05-19,14566,704
District of Columbia,2020-05-19,7434,400
Kansas,2020-05-19,8488,193
South Dakota,2020-05-19,4085,46
Tennessee,2020-05-19,18301,301
California,2020-05-21,88488,3624
Connecticut,2020-05-21,39208,3582
Oklahoma,2020-05-21,5680,304
District of Columbia,2020-05-22,7893,418
Florida,2020-05-22,49443,2189
Michigan,2020-05-22,53865,5158
Mississippi,2020-05-22,25248,1301
Rhode Island,2020-05-22,13736,579
Utah,2020-05-22,8057,93
Vermont,2020-05-22,952,54
Maine,2020-05-23,2013,77
District of Columbia,2020-05-24,8110,432
New York,2020-05-24,366346,29046
North Carolina,2020-05-25,23997,780
Arkansas,2020-05-26,6180,119
Indiana,2020-05-26,32856,2004
Nebraska,2020-05-26,12619,160
Massachusetts,2020-05-27,94220,6547
Mississippi,2020-05-27,14044,670
North Carolina,2020-05-27,24787,827
Texas,2020-05-27,59105,1598
Mississippi,2020-05-28,14372,693
Oklahoma,2020-05-28,6270,326
West Virginia,2020-05-28,1935,74
Florida,2020-05-29,54489,2412
Maryland,2020-05-29,51631,2466
Ohio,2020-05-30,35034,2149
West Virginia,2020-05-30,1989,75
Arizona,2020-05-31,19936,906
Missouri,2020-05-31,13297,784
Connecticut,2020-06-01,42740,3964
Minnesota,2020-06-01,25218,1060
New Mexico,2020-06-01,7800,362
Wisconsin,2020-06-01,18556,597
Delaware,2020-06-03,9712,375
New Jersey,2020-06-03,162068,11880
South Dakota,2020-06-03,5162,62
Alabama,2020-06-04,19072,653
District of Columbia,2020-06-04,9120,475
Michigan,2020-06-04,59215,5604
New Hampshire,2020-06-04,4876,273
Oregon,2020-06-04,4474,159
California,2020-06-05,126510,4550
Pennsylvania,2020-06-05,78908,5952
Tennessee,2020-06-05,25799,405
Colorado,2020-06-06,27834,1527
Georgia,2020-06-06,48943,2147
Minnesota,2020-06-07,55794,1880
New Mexico,2020-06-07,8940,396
Washington,2020-06-07,25064,1163
Florida,2020-06-08,64896,2711
Nevada,2020-06-08,9815,442
Oregon,2020-06-08,4925,164
Wyoming,2020-06-08,960,17
Arkansas,2020-06-09,10080,161
Kansas,2020-06-09,10786,238
Michigan,2020-06-09,65190,5946
New York,2020-06-09,384281,30309
Alabama,2020-06-10,21989,744
Arkansas,2020-06-10,10368,165
Connecticut,2020-06-10,44347,4120
Kentucky,2020-06-10,12029,498
Maine,2020-06-10,2637,100
Arkansas,2020-06-11,10816,171
Florida,2020-06-11,69061,2847
Hawaii,2020-06-11,680,17
Illinois,2020-06-11,131731,6388
Texas,2020-06-11,83772,1942
Florida,2020-06-12,70963,2876
Illinois,2020-06-12,132489,6469
Virginia,2020-06-12,53211,1534
Alabama,2020-06-13,24601,773
Arizona,2020-06-13,34773,1190
Kansas,2020-06-13,11195,244
Oklahoma,2020-06-13,8073,359
Virginia,2020-06-13,53869,1541
Arizona,2020-06-14,35953,1194
Colorado,2020-06-14,29115,1599
Maryland,2020-06-14,62328,2939
Massachusetts,2020-06-14,105603,7624
New Mexico,2020-06-14,9723,435
Utah,2020-06-14,14313,139
Florida,2020-06-15,77318,2937
Kansas,2020-06-15,11516,246
Maryland,2020-06-15,62653,2947
District of Columbia,2020-06-16,9818,520
Maryland,2020-06-16,63004,2982
Washington,2020-06-16,27949,1234
Arkansas,2020-06-17,13606,197
Massachusetts,2020-06-17,106151,7733
New Jersey,2020-06-17,167703,12769
Virginia,2020-06-17,55775,1583
South Carolina,2020-06-18,21548,621
Wisconsin,2020-06-18,24043,719
Delaware,2020-06-19,10611,433
Massachusetts,2020-06-19,106650,7799
Puerto Rico,2020-06-19,6195,147
Alabama,2020-06-20,29549,838
Delaware,2020-06-20,10681,434
Kentucky,2020-06-20,13800,542
Nebraska,2020-06-20,17707,249
New Hampshire,2020-06-20,5518,339
Alabama,2020-06-21,30021,839
Arizona,2020-06-21,52666,1350
Utah,2020-06-21,17567,158
Hawaii,2020-06-23,807,17
Puerto Rico,2020-06-23,6685,149
Iowa,2020-06-24,26897,694
New York,2020-03-07,267,0
Washington,2020-03-09,537,26
Illinois,2020-03-11,75,0
Louisiana,2020-03-14,385,2
Ohio,2020-03-15,148,0
Louisiana,2020-03-16,685,10
New Jersey,2020-03-16,176,3
Washington,2020-03-19,2456,100
California,2020-03-20,1283,24
Massachusetts,2020-03-21,1050,19
Alabama,2020-03-22,314,3
Texas,2020-03-22,1264,24
Utah,2020-03-22,182,1
Louisiana,2020-03-23,1172,34
Maine,2020-03-23,214,1
Colorado,2020-03-25,1086,19
Indiana,2020-03-25,968,27
Ohio,2020-03-25,706,11
Maryland,2020-03-26,581,4
Texas,2020-03-26,1542,21
Indiana,2020-03-27,1976,87
Georgia,2020-03-28,2447,79
Louisiana,2020-03-28,3315,137
Maine,2020-03-28,633,17
California,2020-03-29,6266,130
Mississippi,2020-03-29,1518,43
Oklahoma,2020-03-29,429,16
Colorado,2020-03-30,5256,115
Puerto Rico,2020-03-30,174,6
Maryland,2020-03-31,3324,31
Virginia,2020-03-31,1249,27
Maryland,2020-04-01,1985,33
Texas,2020-04-02,4880,79
Florida,2020-04-03,20520,633
Missouri,2020-04-03,4226,138
Maryland,2020-04-04,3125,54
Missouri,2020-04-04,2291,44
Idaho,2020-04-05,1100,10
Maryland,2020-04-05,3609,68
Wyoming,2020-04-05,200,0
District of Columbia,2020-04-06,1097,24
Washington,2020-04-06,8385,383
Arizona,2020-04-07,2575,77
Massachusetts,2020-04-07,15202,356
Oklahoma,2020-04-07,2940,132
Texas,2020-04-07,8968,177
Virginia,2020-04-07,3332,69
Wyoming,2020-04-07,221,0
Delaware,2020-04-08,2232,61
Georgia,2020-04-08,10204,370
Michigan,2020-04-08,20220,959
Nevada,2020-04-08,2318,80
Tennessee,2020-04-08,8492,202
Florida,2020-04-09,16819,370
Massachusetts,2020-04-09,37882,1678
Utah,2020-04-09,1980,13
Connecticut,2020-04-10,10538,448
North Carolina,2020-04-10,3906,78
Oklahoma,2020-04-10,1794,88
Texas,2020-04-10,12290,246
Utah,2020-04-10,2103,17
Michigan,2020-04-11,23853,1391
New York,2020-04-11,182990,11159
Pennsylvania,2020-04-11,21774,515
Delaware,2020-04-12,1625,35
Michigan,2020-04-12,48988,2148
South Carolina,2020-04-12,6638,165
Minnesota,2020-04-13,1650,70
Indiana,2020-04-14,8598,458
Michigan,2020-04-14,26844,1766
Nevada,2020-04-14,3137,130
North Dakota,2020-04-14,341,9
Rhode Island,2020-04-14,3251,80
New Jersey,2020-04-15,71030,3156
South Dakota,2020-04-15,1167,6
Alabama,2020-04-16,4404,137
District of Columbia,2020-04-16,2350,81
Minnesota,2020-04-17,2071,111
Texas,2020-04-17,18131,461
Florida,2020-04-18,25484,747
Idaho,2020-04-18,1668,44
New York,2020-04-18,240542,17141
Ohio,2020-04-18,10222,451
New York,2020-04-19,246741,17793
North Carolina,2020-04-19,6493,183
Texas,2020-04-19,19441,503
Virginia,2020-04-19,8536,277
Colorado,2020-04-20,20212,862
Massachusetts,2020-04-20,39643,1809
Michigan,2020-04-20,31927,2466
North Carolina,2020-04-20,6764,187
Rhode Island,2020-04-20,5090,155
Georgia,2020-04-21,19189,810
Hawaii,2020-04-21,580,12
Wisconsin,2020-04-21,9240,384
Kansas,2020-04-22,4580,199
Michigan,2020-04-23,35252,2977
Oregon,2020-04-23,4254,149
Puerto Rico,2020-04-23,2460,89
Kentucky,2020-04-24,3779,203
Michigan,2020-04-25,37301,3273
Vermont,2020-04-25,1686,57
West Virginia,2020-04-25,1025,33
Arkansas,2020-04-26,3001,50
Massachusetts,2020-04-26,54938,2899
Arizona,2020-04-27,6716,277
Arkansas,2020-04-27,3069,51
Indiana,2020-04-27,16137,932
Maryland,2020-04-27,19574,945
Illinois,2020-04-28,48102,2132
Wisconsin,2020-04-28,6289,300
Alabama,2020-04-29,6925,262
Illinois,2020-04-29,50355,2221
Michigan,2020-04-29,40442,3670
Minnesota,2020-04-29,4644,319
Nebraska,2020-04-29,3876,67
Puerto Rico,2020-04-29,1465,86
South Dakota,2020-04-29,2375,13
Guam,2020-04-30,2230,12
Idaho,2020-04-30,2016,63
Missouri,2020-04-30,7563,341
Alabama,2020-05-01,7294,289
Arizona,2020-05-01,7962,330
Georgia,2020-05-01,26436,1153
Illinois,2020-05-01,56055,2464
Oklahoma,2020-05-01,3748,230
Pennsylvania,2020-05-01,49764,2671
Missouri,2020-05-02,8154,373
Montana,2020-05-02,908,32
Oklahoma,2020-05-02,3851,238
South Carolina,2020-05-02,6489,267
Tennessee,2020-05-02,24752,714
Virginia,2020-05-02,17731,616
Michigan,2020-05-03,43803,4049
Nevada,2020-05-03,5473,262
Connecticut,2020-05-04,29973,2556
Ohio,2020-05-04,20474,1056
South Carolina,2020-05-04,6757,283
Mississippi,2020-05-05,8207,342
New Jersey,2020-05-05,130593,8244
Wyoming,2020-05-05,604,7
Kansas,2020-05-06,5893,163
New Mexico,2020-05-06,4290,169
Delaware,2020-05-07,5939,202
Indiana,2020-05-07,22942,1414
New Mexico,2020-05-07,8984,410
Rhode Island,2020-05-07,10530,388
Virginia,2020-05-07,21570,769
Idaho,2020-05-08,2205,67
Maine,2020-05-08,1374,63
Maryland,2020-05-08,30592,1560
Indiana,2020-05-10,24633,1508
Nevada,2020-05-10,6120,306
Oregon,2020-05-10,3228,127
Wisconsin,2020-05-10,10219,400
Louisiana,2020-05-11,31881,2308
Michigan,2020-05-11,47526,4584
Alaska,2020-05-12,766,16
Indiana,2020-05-12,25676,1578
Kansas,2020-05-12,7352,178
Kentucky,2020-05-12,7003,333
North Dakota,2020-05-12,1571,38
Tennessee,2020-05-12,15777,264
California,2020-05-13,73218,3014
Connecticut,2020-05-13,34855,3125
Louisiana,2020-05-13,32728,2381
Nevada,2020-05-13,6482,331
New Jersey,2020-05-13,141560,9702
New Mexico,2020-05-13,10728,557
Oklahoma,2020-05-13,4852,278
Arkansas,2020-05-14,4366,98
Maryland,2020-05-14,36021,1866
Kentucky,2020-05-15,7578,343
Montana,2020-05-15,466,16
Vermont,2020-05-15,1866,70
Virginia,2020-05-15,28672,977
California,2020-05-16,78933,3254
Delaware,2020-05-16,7547,286
Iowa,2020-05-16,14328,346
Michigan,2020-05-16,50416,4880
Arkansas,2020-05-17,4759,98
Connecticut,2020-05-17,37419,3408
Maine,2020-05-17,1687,70
Pennsylvania,2020-05-17,65745,4504
West Virginia,2020-05-18,1502,68
